"","Assay_Type_s","AssemblyName_s","BioSample_s","Experiment_s","InsertSize_l","LibraryLayout_s","MBases_l","Run_s","SRA_Sample_s","Sample_Name_s","body_site_s","gap_sample_id_s","gap_subject_id_s"
"1","RNA-Seq","GRCh37","SAMN00992472","SRX197226",174,"PAIRED",8956,"SRR595926","SRS332984","GTEX-N7MS-0011-R10A-SM-2HMJK","Brain - Frontal Cortex (BA9)",735806,590920
"2","RNA-Seq","GRCh37","SAMN00992543","SRX198117",169,"PAIRED",7776,"SRR597927","SRS333055","GTEX-NL3H-0011-R6a-SM-2I3G8","Brain - Nucleus accumbens (basal ganglia)",735889,590923
"3","RNA-Seq","GRCh37","SAMN00992596","SRX198120",178,"PAIRED",6474,"SRR597952","SRS333108","GTEX-OOBJ-2626-SM-2I3F6","Thyroid",736104,590937
"4","RNA-Seq","GRCh37","SAMN00992853","SRX198123",163,"PAIRED",9589,"SRR597977","SRS333365","GTEX-NL4W-0011-R2a-SM-2I5GV","Brain - Substantia nigra",735901,590924
"5","RNA-Seq","GRCh37","SAMN00993045","SRX198128",176,"PAIRED",10375,"SRR598009","SRS333557","GTEX-PWO3-1026-SM-2I5F2","Brain - Cerebellum",736342,590959
"6","RNA-Seq","GRCh37","SAMN00992785","SRX198107",265,"PAIRED",6156,"SRR598042","SRS333297","K-562-SM-2D7VW","Cells - Leukemia cell line (CML)",736507,590982
"7","RNA-Seq","GRCh37","SAMN00992878","SRX198109",204,"PAIRED",8500,"SRR598044","SRS333390","GTEX-NFK9-0626-SM-2HMIV","Muscle - Skeletal",735864,590922
"8","RNA-Seq","GRCh37","SAMN00992588","SRX198113",196,"PAIRED",12100,"SRR598068","SRS333100","GTEX-QEG5-0826-SM-2I5GF","Thyroid",736464,590970
"9","RNA-Seq","GRCh37","SAMN00992756","SRX198142",182,"PAIRED",7868,"SRR598100","SRS333268","GTEX-P4QT-2626-SM-2I3FM","Thyroid",736257,590949
"10","RNA-Seq","GRCh37","SAMN00992418","SRX198145",175,"PAIRED",8060,"SRR598124","SRS332930","GTEX-NPJ8-0011-R4a-SM-2HML3","Brain - Amygdala",735944,590926
"11","RNA-Seq","GRCh37","SAMN00992766","SRX198148",177,"PAIRED",7783,"SRR598148","SRS333278","GTEX-NPJ8-0426-SM-2HMK6","Heart - Left Ventricle",735956,590926
"12","RNA-Seq","GRCh37","SAMN00993015","SRX198155",206,"PAIRED",7542,"SRR598172","SRS333527","GTEX-OXRP-0006-SM-2I3FN","Whole Blood",736170,590943
"13","RNA-Seq","GRCh37","SAMN00992917","SRX198156",171,"PAIRED",7459,"SRR598196","SRS333429","GTEX-N7MT-0011-R6a-SM-2I3G3","Brain - Nucleus accumbens (basal ganglia)",735849,590921
"14","RNA-Seq","GRCh37","SAMN00992526","SRX198165",217,"PAIRED",10156,"SRR598220","SRS333038","GTEX-QEG5-0006-SM-2I5FZ","Whole Blood",736458,590970
"15","RNA-Seq","GRCh37","SAMN00992443","SRX198166",177,"PAIRED",9657,"SRR598253","SRS332955","GTEX-Q2AG-0011-R6A-SM-2HML7","Brain - Nucleus accumbens (basal ganglia)",736381,590962
"16","RNA-Seq","GRCh37","SAMN00992447","SRX198172",179,"PAIRED",6746,"SRR598276","SRS332959","GTEX-N7MS-0011-R7a-SM-2HMKN","Brain - Putamen (basal ganglia)",735823,590920
"17","RNA-Seq","GRCh37","SAMN00993052","SRX198179",173,"PAIRED",18192,"SRR598300","SRS333564","GTEX-PX3G-0006-SM-2I3E4","Whole Blood",736354,590961
"18","RNA-Seq","GRCh37","SAMN00992568","SRX198181",177,"PAIRED",9473,"SRR598332","SRS333080","GTEX-P44G-2426-SM-2I5ER","Brain - Cortex",736200,590944
"19","RNA-Seq","GRCh37","SAMN00992492","SRX198185",188,"PAIRED",11879,"SRR598364","SRS333004","GTEX-QLQ7-0726-SM-2I5G2","Thyroid",736481,590972
"20","RNA-Seq","GRCh37","SAMN00992829","SRX198189",176,"PAIRED",7545,"SRR598396","SRS333341","GTEX-P44G-2526-SM-2I5EK","Brain - Cerebellum",736202,590944
"21","RNA-Seq","GRCh37","SAMN00992471","SRX198194",177,"PAIRED",9443,"SRR598428","SRS332983","GTEX-Q2AG-0011-R5A-SM-2HMJH","Brain - Caudate (basal ganglia)",736379,590962
"22","RNA-Seq","GRCh37","SAMN00992719","SRX198199",192,"PAIRED",14336,"SRR598452","SRS333231","GTEX-OHPN-2726-SM-2I5H4","Muscle - Skeletal",736055,590933
"23","RNA-Seq","GRCh37","SAMN00992416","SRX198171",179,"PAIRED",6953,"SRR598484","SRS332928","GTEX-PW2O-0526-SM-2I3DX","Lung",736309,590956
"24","RNA-Seq","GRCh37","SAMN00992513","SRX198159",179,"PAIRED",6436,"SRR598509","SRS333025","GTEX-N7MT-1326-SM-2I3FV","Heart - Left Ventricle",735859,590921
"25","RNA-Seq","GRCh37","SAMN00992961","SRX198198",174,"PAIRED",11168,"SRR598533","SRS333473","GTEX-OHPN-0011-R11A-SM-2I5FM","Brain - Cerebellar Hemisphere",736031,590933
"26","RNA-Seq","GRCh37","SAMN00992969","SRX198205",180,"PAIRED",7873,"SRR598565","SRS333481","GTEX-Q2AI-0326-SM-2I3EK","Thyroid",736411,590964
"27","RNA-Seq","GRCh37","SAMN00993090","SRX198208",184,"PAIRED",11238,"SRR598589","SRS333602","GTEX-PLZ5-0626-SM-2I5F8","Heart - Left Ventricle",736278,590952
"28","RNA-Seq","GRCh37","SAMN00992558","SRX198152",168,"PAIRED",7656,"SRR598638","SRS333070","GTEX-NL3H-0011-R5a-SM-2I3GB","Brain - Caudate (basal ganglia)",735887,590923
"29","RNA-Seq","GRCh37","SAMN00992802","SRX198215",170,"PAIRED",10918,"SRR598645","SRS333314","GTEX-PWOO-0926-SM-2I3EC","Thyroid",736350,590960
"30","RNA-Seq","GRCh37","SAMN00992948","SRX198221",176,"PAIRED",6546,"SRR598671","SRS333460","GTEX-N7MT-0011-R4a-SM-2I3G9","Brain - Amygdala",735846,590921
"31","RNA-Seq","GRCh37","SAMN00992464","SRX198223",173,"PAIRED",13190,"SRR598695","SRS332976","GTEX-Q2AG-1026-SM-2HMJX","Lung",736393,590962
"32","RNA-Seq","GRCh37","SAMN00992753","SRX198227",201,"PAIRED",6444,"SRR598725","SRS333265","GTEX-PWOO-0006-SM-2I3E3","Whole Blood",736346,590960
"33","RNA-Seq","GRCh37","SAMN00992475","SRX198230",241,"PAIRED",4454,"SRR598749","SRS332987","K-562-SM-2D7VY","Cells - Leukemia cell line (CML)",736508,590982
"34","RNA-Seq","GRCh37","SAMN00993023","SRX198300",167,"PAIRED",6872,"SRR598768","SRS333535","GTEX-P44G-0011-R1A-SM-2I3FE","Brain - Hippocampus",736184,590944
